resume_text,job_description,match_score,match_label
"Results-driven Computer Science graduate with internship experience in Python, SQL, Pandas, NumPy, and Power BI. Built ETL pipelines to clean customer transaction datasets exceeding 1 million records and automated reporting workflows that reduced manual effort by 40%. Developed interactive dashboards using Power BI and created REST APIs with FastAPI for data delivery. Experienced with Git, Linux, PostgreSQL, and Agile development practices. Completed projects involving customer churn prediction using Scikit-learn and visualization with Matplotlib and Seaborn. Strong understanding of statistics, data modeling, feature engineering, and SQL optimization. Comfortable working with cloud platforms such as AWS and collaborating with cross-functional teams. Excellent analytical thinking, communication, and documentation skills. Passionate about solving business problems using data and continuously learning modern analytics tools. Looking for an entry-level Data Analyst role where technical skills and business insights can improve organizational decision-making.","We are hiring a Data Analyst to collect, clean, analyze, and visualize business data. The candidate should have experience with SQL, Python, Excel, Power BI or Tableau, and statistical analysis. Responsibilities include building dashboards, preparing reports for stakeholders, automating recurring analysis, writing optimized SQL queries, and working with product and business teams. Knowledge of ETL, data validation, and Git is preferred. Exposure to cloud platforms, Agile methodology, and machine learning fundamentals is considered an advantage. Strong communication, problem-solving, and documentation skills are required. Fresh graduates with relevant internships or projects are encouraged to apply.",0.95,high
"Motivated software developer with experience building scalable web applications using Java, Spring Boot, MySQL, REST APIs, and Docker. Developed secure authentication systems with JWT and implemented caching using Redis to improve response time by 35%. Familiar with CI/CD pipelines using GitHub Actions and container deployment on AWS EC2. Worked in Agile teams using Jira and Git version control. Strong understanding of object-oriented programming, design patterns, multithreading, and database normalization. Built responsive frontends with React and integrated backend services through RESTful APIs. Passionate about writing clean, maintainable code and continuously improving software quality through testing and code reviews.","Seeking a Backend Java Developer to design, develop, and maintain enterprise-grade REST services using Java and Spring Boot. Responsibilities include database design, API integration, performance optimization, unit testing, and cloud deployment. Candidates should be familiar with MySQL, Docker, Git, CI/CD pipelines, authentication, and Agile methodologies. Knowledge of AWS, Redis, and frontend integration with React is preferred. Excellent debugging, collaboration, and communication skills are essential.",0.93,high
"Computer Science graduate with strong foundations in JavaScript, TypeScript, React, Next.js, HTML5, CSS3, Tailwind CSS, and Node.js. Developed multiple responsive web applications with reusable UI components and optimized page performance using lazy loading and code splitting. Integrated REST APIs and authentication using JWT. Familiar with MongoDB, Express.js, Git, Vercel deployment, and Agile workflows. Experience implementing state management using Redux Toolkit and React Query. Strong understanding of responsive design, accessibility standards, SEO basics, and testing with Jest. Passionate about creating intuitive user experiences and learning modern frontend technologies.","Looking for a Frontend Developer skilled in React, TypeScript, HTML, CSS, and responsive web design. Responsibilities include building reusable UI components, integrating APIs, optimizing application performance, collaborating with designers, and maintaining accessibility standards. Experience with Redux, Next.js, Git, testing frameworks, and Agile development is desirable. Familiarity with REST APIs and deployment platforms is preferred.",0.91,high
"Entry-level Data Engineer with practical experience building ETL workflows using Python, SQL, Apache Airflow, and PostgreSQL. Created automated pipelines to ingest CSV, JSON, and API data into relational databases while ensuring data quality through validation rules. Familiar with Apache Spark basics, AWS S3, Docker, Linux, Git, and dimensional data modeling. Built monitoring scripts that reduced pipeline failures and documented workflows for team collaboration. Strong understanding of database indexing, query optimization, and batch processing. Excellent analytical mindset and eagerness to learn cloud-based data engineering solutions.","Hiring a Data Engineer responsible for developing ETL pipelines, maintaining data warehouses, and optimizing large-scale data processing systems. Candidates should have experience with SQL, Python, Airflow, cloud storage, data modeling, Git, Linux, and monitoring tools. Knowledge of Spark, AWS services, Docker, and workflow automation is preferred. Strong documentation and collaboration skills are expected.",0.90,high
"Cloud enthusiast with hands-on experience deploying Linux applications on AWS using EC2, S3, IAM, CloudWatch, and VPC. Automated infrastructure provisioning with Terraform and configured CI/CD pipelines using GitHub Actions. Familiar with Docker containers, Kubernetes basics, Bash scripting, networking concepts, monitoring, and security best practices. Built personal projects demonstrating scalable deployments and infrastructure automation. Strong troubleshooting abilities and understanding of cloud architecture, cost optimization, and DevOps culture.","We are seeking a Cloud Engineer to manage AWS infrastructure, automate deployments, monitor cloud resources, and improve platform reliability. Applicants should understand EC2, IAM, VPC, S3, Terraform, Docker, Linux, CI/CD, and infrastructure as code. Experience with Kubernetes, networking, monitoring, and scripting is preferred. Strong communication and documentation skills are required.",0.89,high
"Recent graduate experienced in Python programming, Flask development, SQLite, HTML, CSS, Git, and Linux. Built CRUD applications, authentication systems, and simple REST APIs for academic projects. Familiar with object-oriented programming, unit testing, and SQL joins. Created small automation scripts for file processing and reporting. Comfortable using VS Code and GitHub for collaborative development. Interested in learning scalable backend systems and cloud deployment.","We are hiring a Machine Learning Engineer to build recommendation systems, train deep learning models, optimize neural networks, deploy ML pipelines, and manage feature stores. Candidates should have strong knowledge of TensorFlow, PyTorch, MLOps, Kubernetes, distributed computing, feature engineering, model monitoring, and cloud-based ML infrastructure. Prior production ML experience is preferred.",0.32,low
"Business Intelligence analyst with expertise in Excel, Power BI, SQL Server, and DAX. Designed executive dashboards tracking sales, inventory, and customer KPIs while improving reporting accuracy through automated ETL processes. Strong understanding of relational databases, visualization best practices, and stakeholder communication. Familiar with Python for data cleaning and report automation. Experienced in presenting insights to business users and documenting analytical processes.","Looking for an Embedded Software Engineer experienced in C, C++, RTOS, ARM microcontrollers, UART, SPI, I2C, embedded Linux, device drivers, and firmware optimization. Responsibilities include developing low-level software, debugging hardware interactions, and collaborating with electronics teams. Knowledge of PCB debugging and communication protocols is required.",0.28,low
"Software developer skilled in PHP, Laravel, MySQL, Bootstrap, JavaScript, Git, and REST APIs. Developed e-commerce modules, payment gateway integrations, and inventory management systems. Familiar with authentication, MVC architecture, API documentation, testing, and Linux deployment. Strong debugging skills and commitment to writing maintainable code.","Seeking a Cybersecurity Analyst with expertise in SIEM platforms, vulnerability assessment, penetration testing, incident response, threat intelligence, firewall management, and SOC operations. Experience with Splunk, Wireshark, IDS/IPS, Linux security, and scripting is required. Security certifications are preferred.",0.36,low
"Python developer experienced in automation scripting, Selenium, Pandas, Excel processing, REST API integration, and PostgreSQL. Built internal tools to automate repetitive reporting tasks and data extraction. Familiar with Flask, Git, Docker, Linux, and basic AWS deployment. Strong debugging and analytical abilities.","Hiring a Mobile Android Developer with experience in Kotlin, Jetpack Compose, Android SDK, Firebase, MVVM architecture, Gradle, push notifications, Play Store deployment, and performance optimization. Knowledge of mobile UI guidelines and testing frameworks is expected.",0.41,low
"Junior web developer with knowledge of HTML, CSS, JavaScript, Bootstrap, React basics, Git, and responsive web design. Built portfolio websites and small business landing pages with REST API integration. Familiar with browser debugging tools, accessibility guidelines, and version control workflows. Quick learner with excellent teamwork skills.","Looking for a DevOps Engineer experienced with Kubernetes, Helm, Terraform, Jenkins, AWS, Docker, Prometheus, Grafana, ArgoCD, infrastructure automation, and Linux administration. Responsibilities include managing production clusters, deployment pipelines, and monitoring systems. Experience with cloud security and high availability architectures is preferred.",0.39,low
